"Timestamp","What is your Rice Purity Test Score?","What is your sexuality?","What is your sex?","What gender do you identify with?","Are you transgender?","What is your age?","How would you define yourself politically?","Would you consider yourself religious?","How concerned are you about climate change?","Select the drugs below you think should be decriminalized:","Do you think the police service funding should be:","How many times a week do you masturbate?","How often do you have sex in a month?","Would you consider yourself ""sexually free""?","Would you describe yourself as a kinky person?","Do you think your parents be disappointed in you if they knew the details of your sex life?","How scared are you of catching STDs/STIs?","How scared are you of having/causing an unwanted pregnancy?","What is the highest education level you have completed OR are currently pursuing?","How many years have you lived apart from your parents?","What is your annual income?","Would you say you are a(n):","Would you consider yourself a healthy person?"
"2020/11/16 4:23:30 AM CST","26","Bisexual","Female","Female","No","23","Left","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Abolished","2 - 4","1 - 2 times","Yes","Yes","No","Not at all scared","Somewhat scared","Bachelor's Degree (4 year)","3 - 5","$0 - $10,000","Extrovert","No"
"2020/11/16 4:23:44 AM CST","15","Bisexual","Male","Male","No","25","Left","No","Decently concerned","Marijuana","Lessened","2 - 4","15 - 25 times","No","Yes","Yes","Not at all scared","Somewhat scared","High School / GED Equivalent","6 - 10","$10,001 - $30,000","Introvert","No"
"2020/11/16 4:24:02 AM CST","40","Heterosexual","Male","Male","No","29","Left","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","2 - 4","I have had sex, but not recently, or not frequent enough to be monthly","Maybe","Yes","I don't know","A little scared","A little scared","Bachelor's Degree (4 year)","6 - 10","$0 - $10,000","Introvert","Maybe"
"2020/11/16 4:25:02 AM CST","93","Asexual","Female","Female","No","20","Center","No","Decently concerned","Marijuana","Left the way it is","0","I have never had sex","No","No","I don't know","Not at all scared","Somewhat scared","Bachelor's Degree (4 year)","0 (I have never lived apart from my parents)","$0 - $10,000","Introvert","Yes"
"2020/11/16 4:25:44 AM CST","28","Bisexual","Male","Male","No","29","Left","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","5 - 7","3 - 8 times","Yes","Yes","No","Not at all scared","Not at all scared","Doctoral Degree","6 - 10","$10,001 - $30,000","Extrovert","Yes"
"2020/11/16 4:26:44 AM CST","27","Questioning","Female","Female","No","26","Left","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","1","3 - 8 times","Yes","Yes","Yes","Somewhat scared","Absolutely terrified","Associate's Degree (2 year)","6 - 10","$10,001 - $30,000","Introvert","No"
"2020/11/16 4:28:26 AM CST","58","Bisexual","Female","Female","No","19","Left","Maybe","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","0","I have had sex, but not recently, or not frequent enough to be monthly","No","No","No","A little scared","Somewhat scared","Master's Degree","1 - 2","$0 - $10,000","Introvert","No"
"2020/11/16 4:29:36 AM CST","36","Heterosexual","Male","Male","No","18","Left","No","Decently concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Left the way it is","1","25+ times","Yes","No","Yes","A little scared","Decently scared","Bachelor's Degree (4 year)","1 - 2","$0 - $10,000","Extrovert","Yes"
"2020/11/16 4:32:29 AM CST","33","Homosexual","Female","Female","No","18","Left","No","Decently concerned","Marijuana;Psychedelics","Lessened","1","1 - 2 times","Yes","Yes","Yes","A little scared","Not at all scared","Bachelor's Degree (4 year)","0 (I have never lived apart from my parents)","$0 - $10,000","Introvert","Yes"
"2020/11/16 4:33:42 AM CST","41","Heterosexual","Female","Female","No","22","Left","No","Very concerned","Marijuana;Psychedelics","Lessened","2 - 4","3 - 8 times","No","No","Yes","A little scared","Very scared","Bachelor's Degree (4 year)","1 - 2","$30,001 - $50,000","Ambivert","No"
"2020/11/16 4:36:30 AM CST","51","Heterosexual","Female","Female","No","44","Left","No","Decently concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","1","1 - 2 times","Maybe","No","No","Not at all scared","Somewhat scared","Bachelor's Degree (4 year)","10+","$50,001 - $80,000","Extrovert","Yes"
"2020/11/16 4:37:08 AM CST","97","Asexual","Male","Male","No","19","Left","No","Decently concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Abolished","5 - 7","I have never had sex","Maybe","No","No","Not at all scared","Not at all scared","Associate's Degree (2 year)","1 - 2","$0 - $10,000","Introvert","Yes"
"2020/11/16 4:39:30 AM CST","21","Bisexual","Female","Non-binary","No","22","Left","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","2 - 4","3 - 8 times","Maybe","Yes","Yes","Not at all scared","Somewhat scared","High School / GED Equivalent","1 - 2","$0 - $10,000","Ambivert","No"
"2020/11/16 4:41:20 AM CST","44","Bisexual","Female","Female","No","20","Center","No","Very concerned","I don't think any of these drugs should be decriminalized","Lessened","1","3 - 8 times","Maybe","Yes","No","Very scared","Absolutely terrified","Bachelor's Degree (4 year)","0 (I have never lived apart from my parents)","$10,001 - $30,000","Extrovert","Yes"
"2020/11/16 4:45:58 AM CST","84","Asexual","Female","Female","No","26","Left","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","1","I have never had sex","Maybe","No","I don't know","A little scared","Decently scared","High School / GED Equivalent","1 - 2","$10,001 - $30,000","Introvert","Yes"
"2020/11/16 4:50:55 AM CST","78","Demisexual pansexual ","Female","Female","No","18","Left","No","Very concerned","I don't think any of these drugs should be decriminalized","Lessened","0","I have had sex, but not recently, or not frequent enough to be monthly","Maybe","No","No","Not at all scared","Decently scared","High School / GED Equivalent","0 (I have never lived apart from my parents)","$0 - $10,000","Extrovert","No"
"2020/11/16 4:52:00 AM CST","35","Bisexual","Female","Female","No","20","Left","No","Somewhat concerned","Marijuana;Psychedelics","Left the way it is","0","9 - 15 times","No","Yes","Yes","Decently scared","Decently scared","Bachelor's Degree (3 year)","1 - 2","$10,001 - $30,000","Introvert","Maybe"
"2020/11/16 4:53:10 AM CST","29","Bisexual","Female","Female","No","22","Libertarian ","No","A little concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Abolished","0","1 - 2 times","Yes","Yes","No","Not at all scared","A little scared","Bachelor's Degree (4 year)","3 - 5","$0 - $10,000","Introvert","Yes"
"2020/11/16 4:54:28 AM CST","66","Heterosexual","Female","Female","No","43","Left","Yes","Decently concerned","Marijuana","Highly increased","2 - 4","I have had sex, but not recently, or not frequent enough to be monthly","Yes","No","No","Not at all scared","Not at all scared","Bachelor's Degree (4 year)","10+","$80,001 - $120,000","Introvert","Yes"
"2020/11/16 4:55:49 AM CST","66","Heterosexual","Male","Male","No","22","Right","Maybe","A little concerned","I don't think any of these drugs should be decriminalized","Increased","7 - 10","I have had sex, but not recently, or not frequent enough to be monthly","No","Yes","I don't know","Not at all scared","Not at all scared","Bachelor's Degree (4 year)","0 (I have never lived apart from my parents)","$30,001 - $50,000","Extrovert","Yes"
"2020/11/16 4:55:59 AM CST","58","Heterosexual","Male","Male","No","18","Left","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Left the way it is","10+","I have had sex, but not recently, or not frequent enough to be monthly","Yes","No","Yes","Somewhat scared","Very scared","Bachelor's Degree (4 year)","0 (I have never lived apart from my parents)","$10,001 - $30,000","Ambivert","Maybe"
"2020/11/16 4:57:43 AM CST","95","Asexual ","Male","Questioning","Maybe","20","Left","No","Very concerned","Marijuana;Psychedelics","Left the way it is","2 - 4","I have never had sex","Maybe","No","No","Somewhat scared","Not Applicable","Bachelor's Degree (4 year)","1 - 2","$0 - $10,000","Introvert","Yes"
"2020/11/16 4:58:38 AM CST","89","Pansexual","Male","Agender","No","18","Far Left","No","Very concerned","Marijuana;Psychedelics;Heroin & Other hard drugs","Lessened","0","I have never had sex","Yes","No","No","Not at all scared","Not at all scared","High School / GED Equivalent","0 (I have never lived apart from my parents)","$0 - $10,000","Ambivert","Yes"
